listing_url,price,address,num_beds,num_baths,square_footage,contact_info
https://redfin.com/PA/Philadelphia/341-N-State-St-19104/home/38665125,325000.0,"341 N State St, Philadelphia, PA 19104",2.0,1.0,1176.0,(215) 546-0550
https://redfin.com/PA/Philadelphia/4336-Parrish-St-19104/home/38188692,180000.0,"4336 Parrish St, Philadelphia, PA 19104",3.0,1.0,1140.0,(215) 646-2900
https://redfin.com/PA/Philadelphia/4217-Chestnut-St-19104/unit-206/home/142996108,329000.0,"4217 Chestnut St #206, Philadelphia, PA 19104",1.0,1.0,674.0,(888) 397-7352
https://redfin.com/PA/Philadelphia/706-N-Shedwick-St-19104/home/38669915,139900.0,"706 N Shedwick St, Philadelphia, PA 19104",2.0,1.0,840.0,(215) 921-9053
https://redfin.com/PA/Philadelphia/3833-Wyalusing-Ave-19104/home/38673323,95000.0,"3833 Wyalusing Ave, Philadelphia, PA 19104",3.0,1.0,1010.0,(610) 520-0100
https://redfin.com/PA/Philadelphia/3976-Wyalusing-Ave-19104/home/38673332,150000.0,"3976 Wyalusing Ave, Philadelphia, PA 19104",3.0,1.0,876.0,(610) 679-9170
https://redfin.com/PA/Philadelphia/419-N-Budd-St-19104/home/38186723,330000.0,"419 N Budd St, Philadelphia, PA 19104",3.0,2.5,1610.0,(267) 435-8015
https://redfin.com/PA/Philadelphia/3609-Wallace-St-19104/home/38667519,225000.0,"3609 Wallace St, Philadelphia, PA 19104",2.0,1.5,990.0,(215) 608-5745
https://redfin.com/PA/Philadelphia/653-N-37th-St-19104/home/38667722,329000.0,"653 N 37th St, Philadelphia, PA 19104",3.0,1.0,1170.0,(856) 321-1212
https://redfin.com/PA/Philadelphia/4050-Cambridge-St-19104/home/38192872,94900.0,"4050 Cambridge St, Philadelphia, PA 19104",3.0,1.0,1140.0,(215) 400-2600
https://redfin.com/PA/Philadelphia/4310-Aspen-St-19104/home/38184023,170000.0,"4310 Aspen St, Philadelphia, PA 19104",2.0,1.0,784.0,(888) 397-7352
https://redfin.com/PA/Philadelphia/818-N-42nd-St-19104/home/38195766,150000.0,"818 N 42nd St, Philadelphia, PA 19104",3.0,1.0,784.0,(844) 837-5274
https://redfin.com/PA/Philadelphia/3513-Mount-Vernon-St-19104/home/38665059,332900.0,"3513 Mount Vernon St, Philadelphia, PA 19104",3.0,1.5,1623.0,(610) 206-3955
https://redfin.com/PA/Philadelphia/855-N-Brooklyn-St-19104/home/38195691,150000.0,"855 N Brooklyn St, Philadelphia, PA 19104",3.0,1.0,1076.0,(610) 520-0100
https://redfin.com/PA/Philadelphia/3308-Mantua-Ave-19104/unit-A/home/179016238,349900.0,"3308 Mantua Unit A, Philadelphia, PA 19104",3.0,3.0,2208.0,(302) 299-1100
https://redfin.com/PA/Philadelphia/3818-Reno-St-19104/home/38670008,165000.0,"3818 Reno St, Philadelphia, PA 19104",3.0,1.0,1008.0,(215) 627-3500
https://redfin.com/PA/Philadelphia/3833-Pennsgrove-St-19104/home/38669802,180000.0,"3833 Pennsgrove St, Philadelphia, PA 19104",3.0,1.0,1035.0,(215) 627-3500
https://redfin.com/PA/Philadelphia/4254-Pennsgrove-St-19104/home/38190827,189900.0,"4254 Pennsgrove St, Philadelphia, PA 19104",3.0,1.5,986.0,(717) 461-7201
https://redfin.com/PA/Philadelphia/3963-Brown-St-19104/home/38670002,240000.0,"3963 Brown St, Philadelphia, PA 19104",3.0,2.0,1090.0,(610) 206-3955
https://redfin.com/PA/Philadelphia/3813-Reno-St-19104/home/39470327,170000.0,"3813 Reno St, Philadelphia, PA 19104",3.0,1.0,975.0,(215) 607-3535
https://redfin.com/PA/Philadelphia/508-N-Budd-St-19104/home/38186742,315000.0,"508 N Budd St, Philadelphia, PA 19104",2.0,1.0,700.0,(215) 627-3500
https://redfin.com/PA/Philadelphia/3205-Pearl-St-19104/home/38662490,300000.0,"3205 Pearl St, Philadelphia, PA 19104",3.0,2.0,1026.0,(267) 435-8015
https://redfin.com/PA/Philadelphia/3203-Pearl-St-19104/home/38662489,300000.0,"3203 Pearl St, Philadelphia, PA 19104",3.0,2.0,988.0,(267) 435-8015
https://redfin.com/PA/Philadelphia/4136-Cambridge-St-19104/home/38192882,149900.0,"4136 Cambridge St, Philadelphia, PA 19104",3.0,2.0,1968.0,(302) 858-0159
https://redfin.com/PA/Philadelphia/851-N-43rd-St-19104/home/38195831,149000.0,"851 N 43rd St, Philadelphia, PA 19104",2.0,1.0,1286.0,(215) 248-4400
https://redfin.com/PA/Philadelphia/4059-Filbert-St-19104/home/38181747,259900.0,"4059 Filbert St, Philadelphia, PA 19104",3.0,2.0,890.0,(215) 218-0939
https://redfin.com/PA/Philadelphia/17-S-45th-St-19104/home/38743627,289000.0,"17 S 45th St S, Philadelphia, PA 19104",2.0,2.0,900.0,(215) 646-2900
https://redfin.com/PA/Philadelphia/22-S-41st-St-19104/home/38738998,325000.0,"22 S 41st St, Philadelphia, PA 19104",3.0,2.0,1548.0,(215) 980-8881
https://redfin.com/PA/Philadelphia/4217-Chestnut-St-19104/unit-306/home/143504562,350000.0,"4217 Chestnut St #306, Philadelphia, PA 19104",1.0,1.0,674.0,(610) 822-3356
https://redfin.com/PA/Philadelphia/907-N-45th-St-19104/home/38195981,110000.0,"907 N 45th St, Philadelphia, PA 19104",3.0,1.0,784.0,(215) 757-6100
https://redfin.com/PA/Philadelphia/631-N-35th-St-19104/home/38667763,250000.0,"631 N 35th St, Philadelphia, PA 19104",3.0,2.0,1429.0,(215) 253-3439
https://redfin.com/PA/Philadelphia/3957-Wallace-St-19104/home/38669230,225000.0,"3957 Wallace St, Philadelphia, PA 19104",3.0,2.0,1066.0,(610) 206-3955
